"Iter.","Eval.","Best","Current","Time m:s"
0,10,6.11299542236336507e+05,6.11299542236336507e+05,1.293721894006012
1,20,5.38781348059702665e+05,5.38781348059702665e+05,2.3666345920064487
2,26,3.74122228623896779e+05,3.74122228623896779e+05,3.0147192050062586
3,35,2.94994534245847259e+05,2.94994534245847259e+05,3.991137698001694
4,44,2.94994534245847259e+05,3.26484688520406897e+05,4.969498224003473
5,54,2.13686977541837114e+05,2.13686977541837114e+05,6.061345556008746
6,64,1.50285220682054001e+05,1.50285220682054001e+05,7.164829045999795
7,73,1.43315906547475955e+05,1.43315906547475955e+05,8.166356518995599
8,80,1.15643828845877302e+05,1.15643828845877302e+05,8.9450198859995
9,88,4.73335935202357650e+04,4.73335935202357650e+04,9.84087463200558
10,98,4.73335935202357650e+04,4.80702456892179616e+04,10.964421744007268
11,108,3.12130026585837877e+04,3.12130026585837877e+04,12.083266169996932
12,118,1.79028314378153409e+04,1.79028314378153409e+04,13.214158283008146
13,128,9.99493114106050780e+03,9.99493114106050780e+03,14.344695741994656
14,137,7.36065649006226704e+03,7.36065649006226704e+03,15.361537966004107
15,147,3.22184802383075657e+03,3.22184802383075657e+03,16.588381488007144
16,157,1.84811960649218395e+03,1.84811960649218395e+03,17.73397564100742
17,167,1.38980354625265682e+03,1.38980354625265682e+03,18.86434009100776
18,177,4.81050428224880363e+02,4.81050428224880363e+02,19.988499797997065
19,185,3.29841485499221960e+02,3.29841485499221960e+02,20.890765203002957
20,195,2.67951254942459229e+02,2.67951254942459229e+02,22.014121761007118
21,203,2.35945766153631439e+02,2.35945766153631439e+02,22.907605717002298
22,213,4.03130365828833703e+01,4.03130365828833703e+01,24.032153560998267
23,222,2.47640747374739654e+01,2.47640747374739654e+01,25.043026671002735
24,231,2.09846506916355366e+01,2.09846506916355366e+01,26.052858220005874
25,238,6.45900685435201716e+00,6.45900685435201716e+00,26.84896421400481
26,248,6.45900685435201716e+00,1.20084271482779403e+01,27.981162651005434
27,256,4.57000361777467123e+00,4.57000361777467123e+00,28.88702311599627
28,265,4.04959013059110351e+00,4.04959013059110351e+00,29.953001290996326
29,272,4.04959013059110351e+00,5.67292389914013295e+00,30.786724435005453
30,281,3.92160769482580163e+00,3.92160769482580163e+00,31.85861106599623
31,291,3.55870305744584581e+00,3.55870305744584581e+00,33.08772900700569
32,301,1.95231184508182931e+00,1.95231184508182931e+00,34.28535273000307
33,311,1.95231184508182931e+00,2.96939565068010847e+00,35.49974550699699
34,319,1.95231184508182931e+00,3.33130398981287801e+00,36.47217822300445
35,329,1.95231184508182931e+00,3.53174145009019069e+00,37.682927408997784
36,339,1.95231184508182931e+00,3.65575991009714807e+00,38.8558129209996
37,349,1.95231184508182931e+00,3.74152712968781698e+00,40.02479999299976
38,359,1.95231184508182931e+00,2.73606051304595965e+00,41.18928283199784
39,369,1.95231184508182931e+00,3.12263836242158055e+00,42.52778606899665
40,379,1.95231184508182931e+00,2.96677810248010010e+00,43.92439764700248
41,389,1.95231184508182931e+00,3.07585120542876922e+00,45.10885729199799
42,399,1.95231184508182931e+00,2.94619213475503505e+00,46.3264290500083
43,409,1.95231184508182931e+00,3.44145982770419145e+00,47.84390949200315
44,419,1.95231184508182931e+00,3.77478816645501336e+00,49.06836561199452
45,429,1.95231184508182931e+00,3.99000594468330139e+00,50.2376786829991
46,439,1.95231184508182931e+00,3.22775800285972858e+00,51.39957546300138
47,449,1.95231184508182931e+00,3.45708142712479116e+00,52.5630545370077
48,459,1.95231184508182931e+00,3.50701172288731611e+00,53.764934053004254
49,469,1.95231184508182931e+00,2.34954079435969732e+00,54.95679594500689
50,479,1.95231184508182931e+00,2.97059679798906195e+00,56.14895428500313
51,489,1.95231184508182931e+00,2.78379898636609813e+00,57.327480685999035
52,499,1.95231184508182931e+00,2.81140991090977144e+00,58.52266853900801
53,509,1.95231184508182931e+00,2.18558252215192139e+00,59.69427983100468
54,519,1.95231184508182931e+00,2.47929895834187075e+00,60.862128931999905
55,529,1.95231184508182931e+00,2.17996358367193199e+00,62.0339669350069
56,539,1.63357781781276712e+00,1.63357781781276712e+00,63.233236918007606
57,549,1.63357781781276712e+00,2.04922447121168627e+00,64.42568276800739
58,559,1.48214978143583531e+00,1.48214978143583531e+00,65.62085658899741
59,569,1.07631892405591900e+00,1.07631892405591900e+00,66.81257382800686
60,579,1.07631892405591900e+00,1.48713103009095637e+00,67.99891757500882
61,589,1.07631892405591900e+00,1.67581690680998574e+00,69.22486412800208
62,599,1.07631892405591900e+00,1.99526256260009105e+00,70.46021907300747
63,609,1.06143544126769229e+00,1.06143544126769229e+00,71.74240080200252
64,619,1.06143544126769229e+00,1.26003516313936581e+00,72.95963263500016
65,629,1.06143544126769229e+00,2.54330803139031447e+00,74.17323215000215
66,639,1.06143544126769229e+00,1.88120022482877913e+00,75.40018419599801
67,649,1.06143544126769229e+00,2.85921605047900762e+00,76.63647475499602
68,659,1.06143544126769229e+00,1.33719373928816565e+00,77.84933778100822
69,669,1.06143544126769229e+00,1.58814161161167311e+00,79.07839426900318
70,679,1.06143544126769229e+00,1.30358536460740804e+00,80.32928353099851
71,689,1.06143544126769229e+00,1.64482673227182263e+00,81.97955428400019
72,699,1.06143544126769229e+00,1.37172393838907847e+00,83.20014272000117
73,709,1.00656766686058874e+00,1.00656766686058874e+00,84.38815779500874
74,719,1.00656766686058874e+00,1.11591854823918912e+00,85.62086444700253
75,729,1.00656766686058874e+00,1.23358706048674027e+00,86.83831326699874
76,739,1.00656766686058874e+00,1.08893498543398337e+00,88.05405228900781
77,749,1.00656766686058874e+00,1.04160488713279853e+00,89.28149783299887
78,759,7.63183791147786006e-01,7.63183791147786006e-01,90.6455378440005
79,769,7.63183791147786006e-01,1.17014948391795914e+00,91.88611361700168
80,779,7.63183791147786006e-01,1.00523778569349687e+00,93.12923066499934
81,789,7.63183791147786006e-01,7.67993267399288304e-01,94.36402876800275
82,799,7.63183791147786006e-01,1.03587646075437978e+00,95.72506351899938
83,809,7.63183791147786006e-01,1.06696668292387553e+00,97.1356066790031
84,819,6.16791915142612113e-01,6.16791915142612113e-01,98.3752687840024
85,829,6.16791915142612113e-01,6.32634810306867523e-01,99.60272134300612
86,839,5.95785785637572674e-01,5.95785785637572674e-01,100.81024431400874
87,849,4.92734493640914206e-01,4.92734493640914206e-01,102.0151649699983
88,859,4.92734493640914206e-01,6.31110874085576867e-01,103.26531856300426
89,869,4.86290915711396154e-01,4.86290915711396154e-01,104.48888535800506
90,879,4.70895419187212005e-01,4.70895419187212005e-01,105.72649269200338
91,889,4.70895419187212005e-01,4.95571605245067937e-01,106.96063159199548
92,899,4.42603727921153267e-01,4.42603727921153267e-01,108.19740442899638
93,909,3.44431319282807680e-01,3.44431319282807680e-01,109.44546426000306
94,919,3.44431319282807680e-01,3.47800483597743626e-01,110.68987547399593
95,929,2.97078934122402993e-01,2.97078934122402993e-01,111.93493273700005
96,939,2.97078934122402993e-01,3.03519794096023199e-01,113.16704331200162
97,949,2.04844960063721659e-01,2.04844960063721659e-01,114.52874865700142
98,959,1.66932539880224329e-01,1.66932539880224329e-01,115.94792271300685
99,969,1.66932539880224329e-01,2.24963252535757580e-01,117.3668907060055
100,979,1.66932539880224329e-01,1.87749659315819967e-01,118.613191070006
101,989,1.66932539880224329e-01,1.86912515470839702e-01,119.8526725480042
102,999,1.66932539880224329e-01,2.22374933037554928e-01,121.12082868600555
103,1009,1.66932539880224329e-01,1.80657040542898134e-01,122.33868616000109
104,1019,1.06371806109602340e-01,1.06371806109602340e-01,123.56871742800286
105,1029,1.06371806109602340e-01,1.57065657914405132e-01,124.79318237199914
106,1039,7.91431905694710836e-02,7.91431905694710836e-02,126.01782994500536
107,1049,7.91431905694710836e-02,1.05648133971385783e-01,127.26826023000467
108,1059,7.91431905694710836e-02,1.14097344401966047e-01,128.51953271399543
109,1069,7.79455823823213129e-02,7.79455823823213129e-02,129.78727501899994
110,1079,7.79455823823213129e-02,8.94460622557777946e-02,131.14651451000827
111,1089,7.79455823823213129e-02,9.09366122918614378e-02,132.54428127199935
112,1099,7.59197326491102414e-02,7.59197326491102414e-02,133.84392242399917
113,1109,6.78884814373138107e-02,6.78884814373138107e-02,135.09928605200548
114,1119,6.78884814373138107e-02,7.52716591210268737e-02,136.3514213669987
115,1129,6.78884814373138107e-02,7.59317055687976222e-02,137.6445711819979
116,1139,6.78884814373138107e-02,7.59258498621468436e-02,138.8861007499945
117,1149,6.78884814373138107e-02,7.32204405344698550e-02,140.1462160480005
118,1159,6.78884814373138107e-02,7.15163417788180350e-02,141.45022526899993
119,1169,6.78884814373138107e-02,7.49072685183283377e-02,143.27541458400083
120,1179,6.65318964091822507e-02,6.65318964091822507e-02,144.86979752600018
121,1189,6.65318964091822507e-02,7.10638721411389479e-02,146.1407470480044
122,1199,5.87158078657225371e-02,5.87158078657225371e-02,147.40564181700756
123,1209,5.69749719412015326e-02,5.69749719412015326e-02,148.65221780899446
124,1219,5.69749719412015326e-02,6.11840018756714191e-02,149.90264766200562
125,1229,5.39993297789356855e-02,5.39993297789356855e-02,151.17558753800404
126,1239,5.39780343971424867e-02,5.39780343971424867e-02,152.42406841000775
127,1249,4.89042866446642646e-02,4.89042866446642646e-02,153.6714046440029
128,1259,4.89042866446642646e-02,4.93157561314230691e-02,154.93428859399864
129,1269,4.89042866446642646e-02,5.27468353553689207e-02,156.17917052999837
130,1279,4.89042866446642646e-02,5.70869004346693798e-02,157.42721479000465
131,1289,4.89042866446642646e-02,4.99045107252284598e-02,158.72336209799687
132,1299,4.65230107845747073e-02,4.65230107845747073e-02,159.9974752380076
133,1309,4.53714073121488648e-02,4.53714073121488648e-02,161.2497782690043
134,1319,4.27859549391640739e-02,4.27859549391640739e-02,162.50096598999517
135,1329,4.14051674643342513e-02,4.14051674643342513e-02,163.77536214899737
136,1339,3.76604196101342145e-02,3.76604196101342145e-02,165.04904213199916
137,1349,3.50369721026691089e-02,3.50369721026691089e-02,166.32918030500878
138,1359,3.32424911984779761e-02,3.32424911984779761e-02,167.58661825000308
139,1369,2.48729159675488143e-02,2.48729159675488143e-02,168.8389727610047
140,1379,2.27857679657297377e-02,2.27857679657297377e-02,170.08453101699706
141,1389,2.27857679657297377e-02,2.49979079383754743e-02,171.3954260640021
142,1399,2.27857679657297377e-02,2.83441056303446147e-02,172.63512108600116
143,1409,2.27857679657297377e-02,2.99484976208463372e-02,173.87228096299805
144,1419,2.09814334181359433e-02,2.09814334181359433e-02,175.09860293399834
145,1429,2.09814334181359433e-02,2.63568635935323668e-02,176.33401402199524
146,1439,2.09814334181359433e-02,2.19845754841862286e-02,177.57408787000168
