"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,3.25090340036827411e+03,3.25090340036827411e+03,1.81614465199967564e-05,5.53238331398647620e+00,"",1.1518808849796187
1,2,3.24859338269074169e+03,3.24859338269074169e+03,2.17937358239961076e-05,5.83330121423666714e+00,"",2.3178258889820427
2,3,3.24859338269074169e+03,2.77761359046236212e+04,2.61524829887953271e-05,2.91665060711833357e+00,"",3.496938815980684
3,4,3.24859338269074169e+03,2.77733731795213571e+04,3.13829795865543885e-05,3.35119236887579941e+00,"",4.63633354898775
10,11,3.23319895584921915e+03,3.23319895584921915e+03,1.12450889901333595e-04,5.02678855331369911e-01,"7",12.797325876977993
20,21,3.14627527041148187e+03,3.14627527041148187e+03,3.78363469166599107e-09,1.10986392027957326e+00,"7",24.342911630985327
30,31,2.72703199634200064e+03,2.72703199634200064e+03,1.44334209124221461e-14,6.78853472924693557e-01,"7",35.91827103900141
40,41,1.18064683056320519e+03,1.18064683056320519e+03,2.25522201756596033e-16,1.03955436071696453e-01,"2,7",47.557974505994935
50,51,4.24881702717192908e+01,4.24881702717192908e+01,2.25522201756596033e-16,6.43664659831597374e-01,"2,7",59.14544231799664
60,61,9.21702852650269189e-01,9.21702852650269189e-01,2.17937358239961042e-08,4.26396820191577486e-01,"",70.79974753598799
70,71,2.37963474234241912e-01,2.37963474234241912e-01,1.34941067881600304e-07,2.65252933904776445e-01,"",82.52491717698285
80,81,9.09914335060550417e-02,9.09914335060550417e-02,8.35519524880055136e-07,6.49356230905042409e-02,"",94.29106431599939
90,91,8.83716381650066773e-02,8.83716381650066773e-02,5.17331667382617890e-06,1.78209228733361910e-02,"",105.98042631198769
100,101,8.83286847635084554e-02,8.83286847635084554e-02,1.91635346533758724e-05,1.60388305860025720e-03,"",117.63031192799099
110,111,8.83275220606027506e-02,8.83275220606027506e-02,1.71550051684210984e-05,4.93514838184696257e-04,"",129.34626201397623
120,121,8.83259461209918162e-02,8.83259461209918162e-02,2.11800598075220165e-06,3.05571379858302463e-03,"",141.0616759469849
130,131,8.83162207119017884e-02,8.83162207119017884e-02,1.15333199941365401e-06,1.89201744231167653e-02,"",152.72773938899627
140,141,8.82381856549117743e-02,8.82381856549117743e-02,8.64998999560240428e-08,1.17148733093772953e-01,"",164.50666215099045
150,151,8.49065614973210925e-02,8.49065614973210925e-02,5.35584581091670012e-07,7.25354077534729913e-01,"",176.16163361197687
160,161,6.30014952073990608e-02,6.33027051937965629e-02,3.31619855802113831e-06,2.17606223260418979e-01,"",187.92240540398052
170,171,4.08794916674824482e-02,4.15460654552053249e-02,2.05330273956098334e-05,1.94930610286811606e-01,"",199.66514646197902
180,181,2.19986450568643611e-02,2.19986450568643611e-02,4.41143074030510645e-05,4.21050118219513034e-02,"",211.37619527298375
190,191,1.42503668874299147e-02,1.43932598412537804e-02,2.73144163896421241e-04,3.25878919079447965e-02,"",223.0952977789857
200,201,1.23874599535418010e-02,1.23874599535418010e-02,2.03901025772022847e-04,2.02722757980942948e-02,"",234.74208940198878
210,211,1.05409279697366316e-02,1.05409279697366316e-02,6.34213750561299670e-05,1.25988828368548324e-02,"",246.3931899589952
220,221,1.00762755606643717e-02,1.00762755606643717e-02,1.13625126705361898e-04,4.70702206589994083e-03,"",258.0524732329941
230,231,1.00622315354567272e-02,1.00622315354567272e-02,2.94516328420297966e-05,1.15814225308951356e-03,"",269.6695559399959
240,241,1.00613901067309712e-02,1.00613901067309712e-02,3.18077634693921772e-06,2.19400204900793266e-04,"",281.245730050985
250,251,1.00613433351206070e-02,1.00613461920407050e-02,2.37443681988473727e-06,8.19692999057057255e-05,"",292.867674004985
260,261,1.00613426636226976e-02,1.00613427883324991e-02,5.12878353095103197e-07,2.01681887928039447e-05,"",304.51269141898956
270,271,1.00613425563413125e-02,1.00613426864419857e-02,1.32938069122250738e-07,4.58923158768072603e-06,"",316.1631992479961
280,281,1.00613425563413125e-02,1.00613428250211894e-02,3.44575475164873867e-08,1.37676947630421772e-06,"",327.89217719598673
290,291,1.00613425563413125e-02,1.00613428503503813e-02,1.51345387666639643e-08,3.56858648258053193e-07,"",339.5350850049872
300,301,1.00613417990673935e-02,1.00613427993640429e-02,1.51345387666639643e-08,3.21172783432247895e-08,"",351.19637805299135
310,311,1.00613417990673935e-02,1.00613427016435619e-02,1.51345387666639643e-08,3.13829795865543882e-08,"",362.84955855598673
320,321,1.00613417990673935e-02,1.00613428019922409e-02,1.51345387666639643e-08,2.17937358239961042e-08,"",374.5125166490034
330,331,1.00613417990673935e-02,1.00613427090229385e-02,1.51345387666639643e-08,1.81614465199967552e-08,"",386.23879199899966
340,341,1.00613417990673935e-02,1.00613427651559499e-02,1.51345387666639643e-08,2.17937358239961042e-08,"",397.9370298929862
