"Iter.","Eval.","Best","Current","Time m:s"
0,5,3.89094000469895661e+02,3.89094000469895661e+02,0.24348900400218554
1,11,2.51595725392264455e+02,2.51595725392264455e+02,0.5208242499938933
2,18,2.33221839748950657e+02,2.33221839748950657e+02,0.8387434859905625
3,27,6.39403159291859566e+01,6.39403159291859566e+01,1.247587070989539
4,36,1.60751535640494012e+01,1.60751535640494012e+01,1.6581641410011798
5,43,5.07125251277210864e+00,5.07125251277210864e+00,1.979999446994043
6,49,4.16719789917771077e+00,4.16719789917771077e+00,2.257748759991955
7,56,4.10891448203436838e+00,4.10891448203436838e+00,2.5788056219898863
8,60,4.10891448203436838e+00,4.20254685230646974e+00,2.7598358919931343
9,65,4.07469880757484848e+00,4.07469880757484848e+00,2.9897324389894493
10,70,4.06779178169758904e+00,4.06779178169758904e+00,3.2152071629971033
11,76,4.06587718489012584e+00,4.06587718489012584e+00,3.4892366279964335
12,81,4.06566106897702717e+00,4.06566106897702717e+00,3.7190701009967597
13,86,4.06542664035788093e+00,4.06542664035788093e+00,3.954572734000976
14,89,4.06498931135723041e+00,4.06498931135723041e+00,4.092874944995856
15,93,4.06498931135723041e+00,4.06563331348822565e+00,4.2769964009930845
16,101,4.06471593085546345e+00,4.06471593085546345e+00,4.638297838988365
17,106,4.06471593085546345e+00,4.06594260930553908e+00,4.868900240995572
18,115,4.06471593085546345e+00,4.06550760425349189e+00,5.279660226995475
19,121,4.06471593085546345e+00,4.06580564462859950e+00,5.554019475996029
20,130,4.06471593085546345e+00,4.06588999892878533e+00,5.964872541997465
21,140,4.06471593085546345e+00,4.06472203599517190e+00,6.424235656988458
22,148,4.06471593085546345e+00,4.06553574812277851e+00,6.791083439995418
23,155,4.06471593085546345e+00,4.06528284251649019e+00,7.115710889993352
24,163,4.06471593085546345e+00,4.06533644836151353e+00,7.4787017369963
25,171,4.06443205502266380e+00,4.06443205502266380e+00,7.847862682989216
26,178,4.06443205502266380e+00,4.06516459633034088e+00,8.171565436001401
27,183,4.06443205502266380e+00,4.06492172258760132e+00,8.403408615995431
28,190,4.06443205502266380e+00,4.06447284918473528e+00,8.7267605800007
29,197,4.06443205502266380e+00,4.06470097882354420e+00,9.05632524099201
30,201,4.06443205502266380e+00,4.06480377693862849e+00,9.243871272992692
31,211,4.06443205502266380e+00,4.06503713860207938e+00,9.708843168991734
