"Iter.","Eval.","Best","Current","Min. step","Max. step","Bound corr.","Time m:s"
0,1,4.04102362126564074e+00,4.04102362126564074e+00,1.19999999999999995e-06,4.47163177799427203e+00,"",0.6502110489964252
1,2,3.10761174476139157e+00,3.10761174476139157e+00,5.99999999999999973e-07,5.36595813359312590e+00,"",1.2821184319982422
2,3,2.21231996344817894e+00,2.21231996344817894e+00,5.99999999999999973e-07,2.68297906679656295e+00,"",1.926326736996998
3,4,2.20109031885250195e+00,2.20109031885250195e+00,7.19999999999999989e-07,2.68297906679656295e+00,"",2.5496261619991856
10,11,1.82011628459749319e+00,1.82011628459749319e+00,8.95795199999999702e-07,4.02446860019484431e-01,"",6.824834646999079
20,21,1.29686612181352579e+00,1.29686612181352579e+00,6.68707533619199569e-07,3.65523464193576897e-01,"",12.846365876001073
30,31,7.14387008775810961e-01,7.14387008775810961e-01,2.07994791256915827e-07,9.34441830473683177e-02,"",18.911436807000428
40,41,6.79270273324698026e-01,6.79270273324698026e-01,3.72641471265894200e-07,2.79949260042873516e-02,"",25.018747545000224
50,51,5.64962239066411631e-01,5.64962239066411631e-01,9.65886693521197580e-08,8.47330200562435160e-02,"",31.08319891100109
60,61,1.52491830676837109e-01,1.52491830676837109e-01,7.21030553166799646e-08,7.59034326478866539e-02,"",37.21548774099938
70,71,1.01856329718777353e-01,1.01856329718777353e-01,6.48927497850119642e-09,2.41813735083408858e-02,"",43.41528875000222
80,81,8.72170327138290791e-02,8.72170327138290791e-02,2.01842408931301158e-09,1.80512985984824341e-02,"",49.67530770799931
90,91,8.40114342975923634e-02,8.41742762542843359e-02,1.00000000000000006e-09,5.61467591607197562e-03,"",55.93832777899661
100,101,7.91074713659457446e-02,7.91074713659457446e-02,1.00000000000000006e-09,1.00591994703457567e-02,"",62.21041516299738
110,111,6.48990122770859573e-02,6.48990122770859573e-02,6.19173642239999769e-09,2.16263582433078444e-02,"",68.46028413299791
120,121,5.68036766542613786e-02,5.68036766542613786e-02,3.83375999244747180e-08,6.72666246799847115e-03,"",74.70671852600208
130,131,5.21841184119068713e-02,5.21841184119068713e-02,1.19245270805086129e-08,1.20514239017063627e-02,"",80.94262224099657
140,141,4.92512687341889396e-02,4.92512687341889396e-02,2.57569784938985984e-09,2.59094584423531817e-02,"",87.21064255700185
